Economy,Code,Region,Income group
Tuvalu,TUV,East Asia & Pacific,Upper middle
Uganda,UGA,Sub-Saharan Africa,Low
Ukraine,UKR,Europe & Central Asia,Lower middle
United Arab Emirates,ARE,Middle East & North Africa,High
United Kingdom,GBR,Europe & Central Asia,High
United States,USA,North America,High
Uruguay,URY,Latin America & Caribbean,High
Uzbekistan,UZB,Europe & Central Asia,Lower middle
Vanuatu,VUT,East Asia & Pacific,Lower middle
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle
Vietnam,VNM,East Asia & Pacific,Lower middle
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle
"Yemen, Rep.",YEM,Middle East & North Africa,Low
Zambia,ZMB,Sub-Saharan Africa,Lower middle
Zimbabwe,ZWE,Sub-Saharan Africa,Low
